year,month,temp,sd,nbr
1880,01,0.1,3.0482875579574396,93
1880,02,0.4,1.4471976995221738,87
1880,03,2,1.7804463625396172,92
1880,04,6.9,2.9137917345204682,90
1880,05,10.2,2.552227711756951,93
1880,06,14.8,2.412934610222268,90
1880,07,16.8,1.8907546771545645,93
1880,08,19,2.1099211314467814,93
1880,09,15.6,2.7974430986415664,90
1880,10,7.8,4.080431986774314,93
1880,11,5.4,2.6076160900157186,90
1880,12,2.8,2.3202338833600993,93
1881,01,-3.4,4.663701555842048,93
1881,02,-2.2,3.1497258757500592,84
1881,03,0,3.4538048751980805,93
1881,04,3.95,2.5107906947034113,90
1881,05,9.2,3.4899545281701956,93
1881,06,14.8,2.798447045714001,90
1881,07,16.4,1.8636674044698542,93
1881,08,14.6,1.6287326199974814,92
1881,09,13.2,2.2761193073131283,90
1881,10,7.8,3.2848967996837026,93
1881,11,6.75,2.243932031345508,90
1881,12,3.6,1.7473107634764982,93
1882,01,3.3,2.073026867338403,93
1882,02,2.6,2.121052575382969,84
1882,03,5.2,2.0419965433670435,93
1882,04,6.75,2.5991809427267096,90
1882,05,9.8,2.7482766923899082,93
1882,06,14.35,2.2280823170353568,90
1882,07,18.2,1.9733711126868907,93
1882,08,16.4,2.2553696769302904,93
1882,09,15,2.134586476514328,90
1882,10,9.8,2.453412103386141,93
1882,11,3.3,4.154052967275614,90
1882,12,0.4,2.8687809537890505,93
1883,01,0.5,2.430389696219462,92
1883,02,1.15,1.7533097134372768,84
1883,03,-1,2.8016992105815293,93
1883,04,4.1,2.8794818510171374,90
1883,05,10,2.928517232957784,93
1883,06,15.4,1.98636696717756,89
1883,07,17.3,2.6826019898943514,93
1883,08,15.2,1.4918251604965027,93
1883,09,14,2.2166606121964008,90
1883,10,9.9,2.1927059371443813,93
1883,11,6.1,1.316307493797409,90
1883,12,3.2,2.6260966898073126,93
1884,01,3.7,1.6609089419122238,93
1884,02,3.4,2.0062599173389466,87
1884,03,2.8,2.217045298380812,93
1884,04,4.9,2.4746971718544715,90
1884,05,10.2,2.226392961596928,93
1884,06,14.2,1.7628283639236488,89
1884,07,18,2.2603220198621226,93
1884,08,17.3,1.9022791043196077,92
1884,09,16.35,1.7003576035719572,90
1884,10,10.4,2.429915722012243,93
1884,11,2.75,5.122674863077783,90
1884,12,2.8,2.474301767764325,93
1885,01,0.4,1.7337592079401756,93
1885,02,2.25,1.9709406382299484,84
1885,03,2.6,1.7421573413338804,93
1885,04,6.7,2.5292469012811796,90
1885,05,9,3.0186180113517547,93
1885,06,14.3,2.5884119464440705,90
1885,07,18.2,2.1927043380641855,93
1885,08,15.2,2.562798232910405,92
1885,09,13.350000000000001,2.144187334596186,90
1885,10,9.3,3.1507228850626046,93
1885,11,4.45,2.637747923393324,90
